coverage_ratio,inspection_success_rate,mission_time,total_energy_consumption,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,reward
0.425625,0.0,213,81.24999999999896,0,0,160,0,5,0,6,0.0,,0.25750000000000073
0.4275,0.0,214,81.49999999999895,0,0,161,0,5,0,6,0.0,,0.25750000000000073
0.428125,0.0,215,81.74999999999893,0,0,162,0,5,0,6,0.0,,0.05750000000000071
0.428125,0.0,216,81.99999999999892,0,0,163,0,5,0,6,0.0,,-0.042499999999999295
0.428125,0.0,217,82.2499999999989,0,0,164,0,5,0,6,0.0,,-0.042499999999999295
0.428125,0.0,218,82.59999999999889,0,0,165,0,5,0,6,0.0,,-0.04749999999999901
0.428125,0.0,219,82.84999999999887,0,0,166,0,5,0,6,0.0,,-0.042499999999999295
0.428125,0.0,220,83.19999999999885,0,0,167,0,5,0,6,0.0,,-0.04749999999999901
0.428125,0.0,221,83.54999999999883,0,0,168,0,5,0,6,0.0,,-0.04749999999999901
0.428125,0.0,222,83.79999999999882,0,0,169,0,5,0,6,0.0,,-0.042499999999999295
0.428125,0.0,223,84.1499999999988,0,0,170,0,5,0,6,0.0,,-0.04749999999999901
0.428125,0.0,224,84.49999999999878,0,0,171,0,5,0,6,0.0,,-0.04749999999999901
0.42875,0.0,225,84.84999999999876,0,0,172,0,5,0,6,0.0,,0.052500000000001
0.429375,0.0,226,85.19999999999874,0,0,173,0,5,0,6,0.0,,0.052500000000001
0.430625,0.0,227,85.54999999999872,0,0,174,0,5,0,6,0.0,,0.152500000000001
0.43125,0.0,228,85.8999999999987,0,0,175,0,5,0,6,0.0,,0.052500000000001
0.433125,0.0,229,86.14999999999868,0,0,176,0,5,0,6,0.0,,0.25750000000000073
0.43375,0.0,230,86.39999999999867,0,0,177,0,5,0,6,0.0,,0.05750000000000071
0.43625,0.0,231,86.64999999999866,0,0,178,0,5,0,6,0.0,,0.3575000000000007
0.4375,0.0,232,86.89999999999864,0,0,179,0,5,0,6,0.0,,0.15750000000000072
0.440625,0.0,233,87.14999999999863,0,0,180,0,5,0,6,0.0,,0.4575000000000007
0.441875,0.0,234,87.39999999999861,0,0,181,0,5,0,6,0.0,,0.15750000000000072
0.445,0.0,235,87.6499999999986,0,0,182,0,5,0,6,0.0,,0.4575000000000007
0.445625,0.0,236,87.89999999999858,0,0,183,0,5,0,6,0.0,,0.05750000000000071
0.44875,0.0,237,88.14999999999857,0,0,184,0,5,0,6,0.0,,0.4575000000000007
0.45,0.0,238,88.39999999999856,0,0,185,0,5,0,6,0.0,,0.15750000000000072
0.45125,0.0,239,88.64999999999854,0,0,186,0,5,0,6,0.0,,0.15750000000000072
0.4525,0.0,240,88.99999999999852,0,0,187,0,5,0,6,0.0,,0.152500000000001
0.455,0.0,241,89.3499999999985,0,0,187,0,5,0,6,0.0,,0.372500000000001
0.458125,0.0,242,89.59999999999849,0,0,187,0,5,0,6,0.0,,0.4775000000000007
0.458125,0.0,243,89.84999999999847,0,0,187,0,5,0,6,0.0,,-0.02249999999999929
0.460625,0.0,244,90.09999999999846,0,0,187,0,5,0,6,0.0,,0.3775000000000007
0.4625,0.0,245,90.34999999999845,0,0,187,0,5,0,6,0.0,,0.27750000000000075
0.464375,0.0,246,90.59999999999843,0,0,187,0,5,0,6,0.0,,0.27750000000000075
0.4675,0.0,247,90.84999999999842,0,0,187,0,5,0,6,0.0,,0.4775000000000007
0.4675,0.0,248,91.0999999999984,0,0,187,0,5,0,6,0.0,,-0.02249999999999929
0.47125,0.0,249,91.34999999999839,0,0,187,0,5,0,6,0.0,,0.5775000000000008
0.473125,0.0,250,91.59999999999837,0,0,187,0,5,0,6,0.0,,0.27750000000000075
0.47375,0.0,251,91.84999999999836,0,0,187,0,5,0,6,0.0,,0.07750000000000072
0.47625,0.0,252,92.19999999999834,0,0,187,0,5,0,6,0.0,,0.372500000000001
0.4775,0.0,253,92.54999999999832,0,0,187,0,5,0,6,0.0,,0.17250000000000099
0.47875,0.0,254,92.8999999999983,0,0,187,0,5,0,6,0.0,,0.17250000000000099
0.480625,0.0,255,93.14999999999829,0,0,187,0,5,0,6,0.0,,0.27750000000000075
0.48125,0.0,256,93.39999999999827,0,0,187,0,5,0,6,0.0,,0.07750000000000072
0.481875,0.0,257,93.64999999999826,0,0,187,0,5,0,6,0.0,,0.07750000000000072
0.483125,0.0,258,93.89999999999824,0,0,187,0,5,0,6,0.0012919896640826874,,0.1775000000000007
0.484375,0.0,259,94.14999999999823,0,0,187,0,5,0,6,0.002574002574002574,,0.1775000000000007
0.484375,0.0,260,94.49999999999821,0,0,187,0,5,0,6,0.00641025641025641,,-0.027499999999999004
0.4875,0.0,261,94.84999999999819,0,0,187,0,5,0,6,0.0038314176245210726,,0.472500000000001
0.489375,0.0,262,95.19999999999817,0,0,187,0,5,0,6,0.003816793893129771,,0.272500000000001
0.489375,0.0,263,95.44999999999816,0,0,187,0,5,0,6,0.0076045627376425855,,-0.02249999999999929
0.490625,0.0,264,95.79999999999814,0,0,187,0,5,0,6,0.008838383838383838,,0.17250000000000099
0.49125,0.0,265,96.04999999999812,0,0,187,0,5,0,6,0.011320754716981131,,0.07750000000000072
0.491875,0.0,266,96.3999999999981,0,0,188,0,5,0,6,0.013784461152882205,,0.052500000000001
0.49375,0.125,267,96.89999999999809,0,0,189,0,5,1,6,0.01373283395755306,,25.245
0.495,0.125,268,97.39999999999807,0,0,190,0,5,1,6,0.014925373134328358,,0.1450000000000007
0.49625,0.125,269,97.89999999999806,0,0,191,0,5,1,6,0.0161090458488228,,0.1450000000000007
0.4975,0.125,270,98.29999999999805,0,0,192,0,5,1,6,0.01728395061728395,,0.15000000000000044
0.5,0.125,271,98.69999999999804,0,0,193,0,5,1,6,0.015990159901599015,,0.3500000000000004
0.501875,0.125,272,99.09999999999803,0,0,194,0,5,1,6,0.015931372549019607,,0.25000000000000044
0.504375,0.125,273,99.49999999999802,0,0,195,0,5,1,6,0.014652014652014652,,0.3500000000000004
0.50625,0.125,274,99.89999999999802,0,0,196,0,5,1,6,0.014598540145985401,,0.25000000000000044
0.508125,0.25,275,100.44999999999801,0,0,197,0,5,2,6,0.014545454545454545,,25.2425
0.51,0.25,276,100.99999999999801,0,0,198,0,5,2,6,0.014492753623188406,,0.24250000000000016
0.51,0.25,277,101.54999999999801,0,0,199,0,5,2,6,0.018050541516245487,,-0.057499999999999864
0.5125,0.25,278,102.199999999998,0,0,200,0,5,2,6,0.016786570743405275,,0.3375000000000004
0.5125,0.25,279,102.749999999998,0,0,201,0,5,2,6,0.02031063321385902,,-0.057499999999999864
0.51375,0.25,280,103.299999999998,0,0,202,0,5,2,6,0.02142857142857143,,0.14250000000000015
0.51375,0.25,281,103.84999999999799,0,0,203,0,5,2,6,0.02491103202846975,,-0.057499999999999864
0.51375,0.25,282,104.39999999999799,0,0,204,0,5,2,6,0.028368794326241134,,-0.057499999999999864
0.51375,0.25,283,105.04999999999798,0,0,205,0,5,2,6,0.03180212014134275,,-0.06249999999999958
0.515625,0.25,284,105.69999999999797,0,0,206,0,5,2,6,0.03169014084507042,,0.23750000000000046
0.51625,0.25,285,106.34999999999796,0,0,207,0,5,2,6,0.03391812865497076,,0.037500000000000415
0.5175,0.25,286,106.99999999999795,0,0,208,0,5,2,6,0.03496503496503497,,0.13750000000000043
0.519375,0.25,287,107.64999999999795,0,0,209,0,6,2,7,0.03484320557491289,,3.2375000000000003
