coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,target_distribution,communication_radius,communication_mode,baseline
0.864375,0.375,0.625,0,1000,239.99999999999667,50.00000000000284,5.000000000001379,4.8500000000013515,0,0,468,0,5,3,18,0.539,max_steps_reached,70,70,0,778.0446829407223,70,1,4,edge,800.0,hard,hierarchical_task_allocation
0.886875,0.625,1.0,0,1000,239.84999999999647,50.00000000000284,5.07500000000133,0.45000000000135887,0,67,712,0,8,5,19,0.527,max_steps_reached,71,71,0,788.1468237553548,71,1,5,edge,800.0,hard,hierarchical_task_allocation
0.86375,0.25,0.75,0,1000,222.7499999999977,50.00000000000284,13.625000000000654,0.0,0,107,576,0,6,2,15,0.5393333333333333,max_steps_reached,311,311,0,783.1401449087265,311,1,6,edge,800.0,hard,hierarchical_task_allocation
0.8475,0.25,0.875,0,667,135.4499999999961,66.6500000000019,48.95000000000172,47.60000000000164,1,148,405,0,7,2,12,0.32233883058470764,collision,199,199,0,655.3712535766949,199,1,7,edge,800.0,hard,hierarchical_task_allocation
0.865,0.375,0.75,0,1000,249.99999999999937,50.00000000000284,0.0,0.0,0,9,536,0,6,3,14,0.5386666666666666,max_steps_reached,3,3,0,799.2271554437268,3,1,8,edge,800.0,hard,hierarchical_task_allocation
0.861875,0.375,0.75,0,1000,233.29999999999646,50.00000000000284,8.350000000001316,3.6500000000013895,0,1,547,0,6,3,12,0.5403333333333333,max_steps_reached,131,131,0,888.6011986383161,131,1,9,edge,800.0,hard,hierarchical_task_allocation
0.84125,0.5,0.5,0,1000,162.04999999999816,50.00000000000284,43.975000000001614,41.000000000001606,0,0,121,0,4,4,19,0.5513333333333333,max_steps_reached,947,947,0,243.04337110028203,947,1,0,edge,1200.0,hard,hierarchical_task_allocation
0.8775,0.75,0.75,0,1000,202.69999999999735,50.00000000000284,23.650000000001373,20.100000000001266,0,2,168,0,6,6,13,0.532,max_steps_reached,499,499,0,404.4338717630882,499,1,1,edge,1200.0,hard,hierarchical_task_allocation
0.8525,0.875,0.875,0,1000,204.74999999999912,50.00000000000284,22.625000000001453,18.400000000001384,0,5,99,0,7,7,16,0.5453333333333333,max_steps_reached,496,496,0,389.722180312555,496,1,2,edge,1200.0,hard,hierarchical_task_allocation
0.840625,0.75,0.75,0,1000,188.1,50.00000000000284,30.95000000000154,30.45000000000153,0,0,43,0,6,6,17,0.5516666666666666,max_steps_reached,749,749,0,309.4829936067143,749,1,3,edge,1200.0,hard,hierarchical_task_allocation
0.84875,0.625,0.625,0,1000,186.24999999999983,50.00000000000284,31.875000000001542,30.650000000001526,0,0,30,0,5,5,15,0.5473333333333333,max_steps_reached,649,649,0,305.8909315387478,649,1,4,edge,1200.0,hard,hierarchical_task_allocation
0.864375,0.875,1.0,0,1000,231.59999999999636,50.00000000000284,9.200000000001285,8.000000000001286,0,0,129,0,8,7,20,0.539,max_steps_reached,221,221,0,543.8866774783419,221,1,5,edge,1200.0,hard,hierarchical_task_allocation
0.866875,0.75,0.75,0,1000,184.19999999999877,50.00000000000284,32.90000000000151,18.700000000001417,0,0,243,0,6,6,16,0.5376666666666666,max_steps_reached,599,599,0,355.05362087549594,599,1,6,edge,1200.0,hard,hierarchical_task_allocation
0.8675,1.0,1.0,1,973,228.6999999999977,51.350000000002765,9.975000000001373,8.650000000001375,0,98,67,0,8,8,15,0.5244946899623159,all_targets_inspected,229,229,0,444.36682298144643,229,1,7,edge,1200.0,hard,hierarchical_task_allocation
0.8725,0.75,0.75,0,1000,213.09999999999908,50.00000000000284,18.45000000000143,16.90000000000142,0,0,197,0,6,6,14,0.5346666666666666,max_steps_reached,340,340,0,404.8131523072859,340,1,8,edge,1200.0,hard,hierarchical_task_allocation
0.855625,0.75,0.75,0,1000,217.89999999999782,50.00000000000284,16.050000000001308,12.100000000001364,0,0,59,0,6,6,12,0.5436666666666666,max_steps_reached,382,382,0,447.74384202951285,382,1,9,edge,1200.0,hard,hierarchical_task_allocation
