step,agent_id,uav_type,x,y,action,action_name,battery,nearest_candidate_distance,in_candidate_range,coverage_ratio,target_detection_rate,inspection_success_rate,collision_count
51,quadrotor_1,quadrotor,435.0,225.0,2,move_east,95.20000000000027,,,0.12875,0.0,0.0,0
52,fixedwing_0,fixedwing,981.2101734670773,1086.0501648745378,8,orbit_candidate,96.10000000000022,,,0.1325,0.0,0.0,0
52,quadrotor_0,quadrotor,495.0,300.0,0,move_north,94.8000000000003,396.5204509175134,0,0.1325,0.0,0.0,0
52,quadrotor_1,quadrotor,450.0,225.0,2,move_east,95.10000000000028,,,0.1325,0.0,0.0,0
53,fixedwing_0,fixedwing,1007.9859694311125,1099.5800115289667,8,orbit_candidate,96.05000000000022,,,0.134375,0.0,0.0,0
53,quadrotor_0,quadrotor,495.0,315.0,2,move_east,94.7000000000003,382.024515822374,0,0.134375,0.0,0.0,0
53,quadrotor_1,quadrotor,465.0,225.0,3,move_west,95.00000000000028,,,0.134375,0.0,0.0,0
54,fixedwing_0,fixedwing,1037.9558654838181,1100.9236374404554,8,orbit_candidate,96.00000000000023,,,0.13625,0.0,0.0,0
54,quadrotor_0,quadrotor,510.0,315.0,0,move_north,94.6000000000003,378.3732368768015,0,0.13625,0.0,0.0,0
54,quadrotor_1,quadrotor,450.0,225.0,0,move_north,94.90000000000029,,,0.13625,0.0,0.0,0
55,fixedwing_0,fixedwing,1066.4345946958756,1091.4916714488768,9,change_altitude,95.95000000000023,,,0.13875,0.0,0.0,0
55,quadrotor_0,quadrotor,510.0,330.0,0,move_north,94.50000000000031,363.7726887468592,0,0.13875,0.0,0.0,0
55,quadrotor_1,quadrotor,450.0,240.0,2,move_east,94.8000000000003,,,0.13875,0.0,0.0,0
56,fixedwing_0,fixedwing,1094.913323907933,1082.0597054572982,10,return_to_base,95.90000000000023,,,0.141875,0.0,0.0,0
56,quadrotor_0,quadrotor,510.0,345.0,2,move_east,94.40000000000032,349.20600191235326,0,0.141875,0.0,0.0,0
56,quadrotor_1,quadrotor,465.0,240.0,2,move_east,94.7000000000003,,,0.141875,0.0,0.0,0
57,fixedwing_0,fixedwing,1073.575242153528,1060.9721198429534,6,straight,95.85000000000024,,,0.143125,0.0,0.0,0
57,quadrotor_0,quadrotor,525.0,345.0,0,move_north,94.30000000000032,345.85894157433506,0,0.143125,0.0,0.0,0
57,quadrotor_1,quadrotor,480.0,240.0,4,hover_inspect,94.6000000000003,,,0.143125,0.0,0.0,0
58,fixedwing_0,fixedwing,1052.237160399123,1039.8845342286086,7,turn_right,95.80000000000024,,,0.143125,0.0,0.0,0
58,quadrotor_0,quadrotor,525.0,360.0,2,move_east,94.20000000000033,331.1837407850972,0,0.143125,0.0,0.0,0
58,quadrotor_1,quadrotor,480.0,240.0,2,move_east,94.6000000000003,,,0.143125,0.0,0.0,0
59,fixedwing_0,fixedwing,1023.9862919680384,1029.7905541964535,5,turn_left,95.65000000000025,,,0.144375,0.0,0.0,0
59,quadrotor_0,quadrotor,540.0,360.0,0,move_north,94.10000000000034,328.3386146278249,0,0.144375,0.0,0.0,0
59,quadrotor_1,quadrotor,495.0,240.0,2,move_east,94.50000000000031,,,0.144375,0.0,0.0,0
60,fixedwing_0,fixedwing,1002.6482102136332,1008.7029685821087,6,straight,95.50000000000026,,,0.146875,0.0,0.0,0
